#        X         X         X         X         X         X         X        80
# ==============================================================================
# This comparison was compiled by hand; it is far from exhaustive and not all
# syntax and their peculiarities are covered.
# To have a brid’s eye overview compare which markers they use, find conflicting
# markdown dialects not separately mentioned, unless they differ from original Markdown
#
# The following cheatsheets were used:
# - http://en.wikipedia.org/wiki/Lightweight_markup_language#Comparison_of_lightweight_markup_language_syntax
# - original Markdown: http://daringfireball.net/projects/markdown/syntax
# - MultiMarkdown (MMD): https://rawgit.com/fletcher/human-markdown-reference/master/index.html
# - Writedown (iA): http://support.iawriter.com/help/kb/general-questions/markdown-syntax-reference-guide
# - AsciiDoc: http://powerman.name/doc/asciidoc
#
# TO DO:
# reST is a different beast than other LWMLs!
# - reStructuredText (reST): https://github.com/ralsina/rst-cheatsheet/blob/master/rst-cheatsheet.rst
#    & http://en.wikipedia.org/wiki/ReStructuredText
#    & http://sphinx-doc.org/rest.html
#   (The “official” cheasheet lacks clarity: http://docutils.sourceforge.net/docs/user/rst/cheatsheet.txt)
# END TO DO
#
# - SkrivML: http://markup.skriv.org/language/syntax
# - Textile: http://redcloth.org/hobix.com/textile/
#    & http://en.wikipedia.org/wiki/Textile_(markup_language)
# - HTML: https://developer.mozilla.org/en-US/docs/Web/Guide/HTML/HTML5/HTML5_element_list
#
# many lightweight markup languages also offer conversion of special sorts (characters) into html &entities; - not covered here, as is not markup stricto sensu, but workaround for pre-Unicode encoding and character input method
# directives not included (like in AsciiDoc uses directives like `image:`, `link:`, `xref:`)
# Textile uses h1. h2. h3. h4. h5. h6. directives for headers, bq. for blockquote, fn1. for footnote text
#
# ↩ line break
# ⚠ conflicting
# ␣ mandatory single whitespace, whereas regular space (u????) for optional white space
#
# TO DO:
#   add column with formalized regexes!
#   replace string by Text and word!
# END TO DO
#
# Only some [^CSV] implementations parse lines at the beginning of the file
# starting with a # (hash) as comments; graphical user interfaces (GUI; c.q.
# CVS editors) using such parser will not interprete these lines as rows
# belonging to the table (data), but as metadata. Obviously, that is the
# assumed behavior for the present document. If you can read these lines from
# within your GUI editor, then open this file in a plain text editor, remove all
# lines at the top starting with a #, save, and re-open in your GUI.
#
# [^CSV] http://en.wikipedia.org/wiki/Comma-separated_values
#
# ==============================================================================
#
TYPE	LEVEL	HTML	MARK	PATTERN	LANGUAGES	NOTE
header	block	<h1>	=	↩======↩string↩======↩	reST	section title
header	block	<h1>	=	↩string↩======↩	markdown; reST	section title, header first level
header	block	<h2>	-	↩string↩------↩↩string↩------↩	markdown; AsciiDoc, reST	header second level
header	block	<h3>	~	↩string↩~~~~~~↩	AsciiDoc, reST	header third level
header	block	<h1>	-	↩string↩------↩	AsciiDoc	header first level
header	block	<h2>	~	↩string↩~~~~~~↩	AsciiDoc	header second level
header	block	<h3>	^	↩string↩^^^^^^↩	AsciiDoc	header third level
header	block	<h4>	+	↩string↩++++++↩	AsciiDoc	header fourth level
header	block	<h1>	#	↩#␣string↩	markdown	header first level
header	block	<h2>	#	↩##␣string↩	markdown	header second level
header	block	<h3>	#	↩###␣string↩	markdown	header thrid level
header	block	<h4>	#	↩####␣string↩	markdown	header fourth level
header	block	<h5>	#	↩#####␣string↩	markdown	header fifth level
header	block	<h6>	#	↩######␣string↩	markdown	header sixth level
header	block	<h1>	#	↩#␣string␣#↩	markdown	header first level
header	block	<h2>	#	↩##␣string␣##↩	markdown	header second level
header	block	<h3>	#	↩###␣string␣###↩	markdown	header thrid level
header	block	<h4>	#	↩####␣string␣####↩	markdown	header fourth level
header	block	<h5>	#	↩#####␣string␣#####↩	markdown	header fifth level
header	block	<h6>	#	↩######␣string␣######↩	markdown	header sixth level
header	block	<h1>	=	↩==␣string↩	AsciiDoc	header first level
header	block	<h2>	=	↩===␣string↩	AsciiDoc	header second level
header	block	<h3>	=	↩====␣string↩	AsciiDoc	header thrid level
header	block	<h4>	=	↩=====␣string↩	AsciiDoc	header fourth level
header	block	<h1>	=	↩=␣string↩	Creole, Skriv	header first level
header	block	<h2>	=	↩==␣string↩	Creole, Skriv	header second level
header	block	<h3>	=	↩===␣string↩	Creole, Skriv	header thrid level
header	block	<h4>	=	↩====␣string↩	Creole, Skriv	header fourth level
header	block	<h5>	=	↩=====␣string↩	Creole, Skriv	header fifth level
header	block	<h6>	=	↩======␣string↩	Creole, Skriv	header sixth level
header	block	<h1>	=	↩=␣string␣=↩	Creole, Skriv	header first level
header	block	<h2>	=	↩==␣string␣==↩	Creole, MediaWiki, Skriv	header second level
header	block	<h3>	=	↩===␣string␣===↩	Creole, MediaWiki, Skriv	header thrid level
